"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2790816,"December 31, 2023","New Mexico",Albuquerque,"9901 Ceja Vis Rd SW",1,2,0,0,0,N/A
2793872,"December 31, 2023",Florida,Quincy,"110 E Washington St",1,0,0,0,1,N/A
2794085,"December 31, 2023",Alaska,Anchorage,"7251 Point Woronzof Rd",0,1,0,0,1,N/A
2791280,"December 31, 2023",Tennessee,Memphis,"5800 block of Edgewater Cove",1,0,0,0,0,N/A
2792286,"December 31, 2023",Ohio,Lima,"2226 N Glenwood Ave",1,0,0,0,1,N/A
2790437,"December 30, 2023",Tennessee,Memphis,"1100 block of Dellwood Ave",0,1,0,0,0,N/A
2790435,"December 30, 2023",Tennessee,Memphis,"1500 block of Willis St",0,1,0,0,0,N/A
2790430,"December 30, 2023","District of Columbia",Washington,"5000 block of Call St SE",0,1,0,0,0,N/A
2790907,"December 30, 2023",Nevada,Henderson,"10000 block of S Eastern Ave",0,1,0,0,1,N/A
2791943,"December 30, 2023",Georgia,Covington,"4200 Salem Rd",0,1,0,0,1,N/A
2790731,"December 30, 2023",Utah,"Salt Lake City","1089 W Wenco Cir",1,0,0,0,1,N/A
2790020,"December 30, 2023",Utah,"Salt Lake City (Murray)","162 W 4490 S",2,0,0,0,1,N/A
2790287,"December 30, 2023",Maryland,Baltimore,"N Caroline St and E Fayette St",0,1,0,0,1,N/A
2789947,"December 30, 2023",Texas,"San Antonio","700 block of Pennystone Ave",1,1,0,0,1,N/A
2790348,"December 30, 2023",Washington,Seattle,"4500 block of Delridge Way SW",0,1,0,0,0,N/A
2793043,"December 30, 2023",Pennsylvania,Philadelphia,"8200 block of Lyons Ave",0,1,0,0,0,N/A
2793040,"December 30, 2023",Pennsylvania,Philadelphia,"1700 block of W Tioga St",0,1,0,0,0,N/A
2793038,"December 30, 2023",Pennsylvania,Philadelphia,"1000 block of Belmont Ave",0,1,0,0,0,N/A
2790981,"December 30, 2023",Pennsylvania,Philadelphia,"50 block of Chelten Ave",0,1,0,0,0,N/A
2793031,"December 30, 2023",Pennsylvania,Philadelphia,"50 block of N 39th St",0,1,0,0,0,N/A
2790433,"December 30, 2023",Tennessee,Memphis,"2756 Getwell Rd",1,0,0,0,0,N/A
2790486,"December 30, 2023",Texas,Houston,"832 W Greens Rd",1,0,0,0,0,N/A
2791256,"December 30, 2023",Maryland,Corriganville,N/A,0,1,0,0,0,N/A
2789873,"December 30, 2023",Texas,Houston,"2007 S Durham Dr",0,1,0,0,0,N/A
2790500,"December 30, 2023",Pennsylvania,Pittsburgh,"2200 block of Arlington Ave",1,0,0,0,1,N/A
2790270,"December 30, 2023",Tennessee,Nashville,"3700 Buena Vista Pike",0,1,0,0,0,N/A
2789922,"December 30, 2023",Arizona,Avondale,"W Buckeye Rd and S 107th Ave",1,1,0,0,0,N/A
2791243,"December 30, 2023",Maryland,Baltimore,N/A,0,1,0,0,0,N/A
2790422,"December 30, 2023",Tennessee,Memphis,"3541 Jackson Ave",1,1,0,0,0,N/A
2790914,"December 30, 2023",Louisiana,Lafayette,"100 block of Ancelet St",1,0,0,0,2,N/A
2790268,"December 30, 2023",Maryland,"Silver Spring (Aspen Hill)","Connecticut Ave and Grand Pre Rd",0,1,0,0,0,N/A
2790261,"December 30, 2023",Texas,"Fort Worth","3500 block of Race St",0,2,0,0,0,N/A
